indicator_name,indicator_code,thematic_group,n_nonzero_munis,n_missing,raw_min,raw_max,raw_mean,raw_median,rarity_score_ri,floor_0.01_applied,within_group_weight_wi,ahp_group_weight_pct
Apartments (census),n_Apartments,Residential,203,0,0.0,1.0,0.032060536665505054,0.014511873350923483,0.042453,False,0.085546,2.57
Total population,n_Population,Residential,211,0,0.0,1.0,0.03240456377062918,0.015777018581784853,0.01,True,0.041519,2.57
Employed population,n_Employ,Residential,211,0,0.0,1.0,0.031500033185040785,0.014730478740559067,0.01,True,0.041519,2.57
Number of addresses,n_Addresses,Residential,211,0,0.0,1.0,0.07209385163346747,0.04520016602974222,0.01,True,0.041519,2.57
Population density,n_Density,Residential,211,0,0.0,1.0,0.10487573972436773,0.06984461616803295,0.01,True,0.041519,2.57
Outdoor shops,n_Outdoor_S,Sports,9,0,0.0,1.0,0.010023584905660377,0.0,0.957547,False,0.100485,1.88
Swimming pools,n_Swim_Pool,Sports,13,0,0.0,1.0,0.02358490566037736,0.0,0.938679,False,0.09949,1.88
Fitness centres,n_Fitness,Sports,29,0,0.0,1.0,0.012971698113207548,0.0,0.863208,False,0.095406,1.88
Stadiums,n_Stadiums,Sports,33,0,0.0,1.0,0.029350104821802937,0.0,0.84434,False,0.094358,1.88
Sports halls,n_Sport_Hall,Sports,35,0,0.0,1.0,0.046383647798742135,0.0,0.834906,False,0.093829,1.88
Bicycle shops,n_Bike_Shop,Sports,45,0,0.0,1.0,0.01567702552719201,0.0,0.787736,False,0.09114,1.88
Sports shops,n_Sport_Shop,Sports,51,0,0.0,1.0,0.019056603773584906,0.0,0.759434,False,0.089488,1.88
Camp sites,n_Camp_Site,Sports,53,0,0.0,1.0,0.07547169811320754,0.0,0.75,False,0.08893,1.88
Playgrounds,n_Playground,Sports,76,0,0.0,1.0,0.025157232704402514,0.0,0.641509,False,0.082247,1.88
City parks,n_Parks,Sports,136,0,0.0,1.0,0.023839877613462516,0.009009009009009009,0.358491,False,0.061483,1.88
Bicycle path length (km),n_Bike_paths,Sports,156,0,0.0,1.0,0.030406495479671995,0.010889777270131355,0.264151,False,0.052777,1.88
Hunting stands,n_Hunt_Stand,Sports,161,0,0.0,1.0,0.09702651062813471,0.0379746835443038,0.240566,False,0.050366,1.88
Travel agencies,n_Travel_A,Tourism,5,0,0.0,1.0,0.015723270440251572,0.0,0.976415,False,0.126685,3.67
Gift shops,n_Gift_Shop,Tourism,38,0,0.0,1.0,0.01819407008086253,0.0,0.820755,False,0.116148,3.67
Fast food outlets,n_Fast_food,Tourism,63,0,0.0,1.0,0.016415094339622644,0.0,0.70283,False,0.107481,3.67
Hotels,n_Hotels,Tourism,66,0,0.0,1.0,0.02223719676549865,0.0,0.688679,False,0.106394,3.67
Bakeries,n_Bakery,Tourism,103,0,0.0,1.0,0.02135744234800839,0.0,0.514151,False,0.091929,3.67
Hostels and motels,n_Hostels,Tourism,108,0,0.0,1.0,0.04329946782776971,0.02564102564102564,0.490566,False,0.089796,3.67
Public toilets,n_Pub_Toilet,Tourism,118,0,0.0,1.0,0.06654767975522694,0.02702702702702703,0.443396,False,0.08537,3.67
Restaurants,n_Restaurant,Tourism,156,0,0.0,1.0,0.020343433404591504,0.007389162561576354,0.264151,False,0.065892,3.67
Clubs and bars,n_Clubs_Bars,Tourism,177,0,0.0,1.0,0.02599648122307832,0.00964630225080386,0.165094,False,0.052092,3.67
Tourist arrivals,n_Tur_arriv,Tourism,189,0,0.0,1.0,0.023640321538627107,0.002988020632887398,0.108491,False,0.042228,3.67
Overnight stays,n_OvernightS,Tourism,190,0,0.0,1.0,0.029543688531974012,0.0032962639880258597,0.103774,False,0.0413,3.67
Tourist information points,n_Tur_inf_p,Tourism,193,0,0.0,1.0,0.08224920205244234,0.027837259100642397,0.089623,False,0.038381,3.67
Tourist apartments,n_Apartme_OS,Tourism,195,0,0.0,1.0,0.029576013879852526,0.006896551724137931,0.080189,False,0.036305,3.67
Kiosks,n_Kiosk,Trade,28,0,0.0,1.0,0.015947888589398024,0.0,0.867925,False,0.198867,12.1
Marketplaces,n_Marketplac,Trade,37,0,0.0,1.0,0.020889487870619946,0.0,0.825472,False,0.193943,12.1
Shopping malls,n_Shp_mall,Trade,50,0,0.0,1.0,0.05385220125786163,0.0,0.764151,False,0.1866,12.1
Thematic shops,n_Thematic_S,Trade,83,0,0.0,1.0,0.03795025728987993,0.0,0.608491,False,0.166513,12.1
Supermarkets,n_Supermarke,Trade,100,0,0.0,1.0,0.02346548841652735,0.0,0.528302,False,0.155154,12.1
Industrial and business zones,n_Ind_B_Zone,Trade,184,0,0.0,1.0,0.14000857632933103,0.09090909090909091,0.132075,False,0.077577,12.1
Registered companies,n_Companies,Trade,211,0,0.0,1.0,0.021603423575790447,0.008928039997619189,0.01,True,0.021346,12.1
Seaports,n_Seaport,Traffic,1,0,0.0,1.0,0.0047169811320754715,0.0,0.995283,False,0.097386,12.42
Airports,n_Airports,Traffic,29,0,0.0,1.0,0.07075471698113207,0.0,0.863208,False,0.090694,12.42
Vending parking,n_Parking_V,Traffic,33,0,0.0,1.0,0.00984944764884153,0.0,0.84434,False,0.089698,12.42
Car rental services,n_Car_Rent,Traffic,38,0,0.0,1.0,0.009256632146403746,0.0,0.820755,False,0.088436,12.42
Petrol stations,n_Gas_stat,Traffic,39,0,0.0,1.0,0.04481132075471698,0.0,0.816038,False,0.088182,12.42
Bicycle rental locations,n_Bike_Renta,Traffic,43,0,0.0,1.0,0.03522995283018868,0.0,0.79717,False,0.087156,12.42
Car wash services,n_Car_Wash,Traffic,48,0,0.0,1.0,0.02780536246276067,0.0,0.773585,False,0.085857,12.42
Driving schools,n_Driving_sc,Traffic,61,0,0.0,1.0,0.025283018867924528,0.0,0.712264,False,0.082384,12.42
Highway road length (km),n_Roads_L,Traffic,65,0,0.0,1.0,0.06355097684219782,0.0,0.693396,False,0.081286,12.42
Railway stations,n_Railway_St,Traffic,97,0,0.0,1.0,0.07959905660377359,0.0,0.542453,False,0.071896,12.42
Railway length (km),n_Railway_L,Traffic,114,0,0.0,1.0,0.04626989582687404,0.011838402592719992,0.462264,False,0.066369,12.42
Parking facilities,n_Parking,Traffic,168,0,0.0,1.0,0.08169811320754718,0.03333333333333333,0.207547,False,0.044471,12.42
Bus stops,n_Bus_stops,Traffic,206,0,0.0,1.0,0.041520333276818366,0.02053915275994865,0.028302,False,0.016422,12.42
Post offices,n_Post_offic,Traffic,210,0,0.0,1.0,0.07775410833840536,0.03225806451612903,0.01,True,0.009762,12.42
